user_id,domains,subdomain,wanted_skills,combined_features
20,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python javascript sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python javascript sql
21,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript typescript mongodb nodedotjs
22,cloudcomputing,networking,java javascript aws azure gcp html,cloudcomputing networking java javascript aws azure gcp html
23,webdevelopment,frontendwebdevelopment,html css javascript nodedotjs,webdevelopment frontendwebdevelopment html css javascript nodedotjs
24,webdevelopment,frontendwebdevelopment,python,webdevelopment frontendwebdevelopment python
25,datascience,machinelearning deeplearning naturallanguageprocessing computervision,scala julia,datascience machinelearning deeplearning naturallanguageprocessing computervision scala julia
26,webdevelopment,frontendwebdevelopment fullstackwebdevelopment,css javascript mongodb nodedotjs,webdevelopment frontendwebdevelopment fullstackwebdevelopment css javascript mongodb nodedotjs
27,webdevelopment,frontendwebdevelopment,html css javascript python mongodb nodedotjs,webdevelopment frontendwebdevelopment html css javascript python mongodb nodedotjs
28,webdevelopment,frontendwebdevelopment,javascript python,webdevelopment frontendwebdevelopment javascript python
29,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript python typescript mongodb nodedotjs
30,datascience,naturallanguageprocessing,python,datascience naturallanguageprocessing python
31,datascience,machinelearning deeplearning naturallanguageprocessing,python r sql,datascience machinelearning deeplearning naturallanguageprocessing python r sql
32,datascience,machinelearning naturallanguageprocessing,python javascript sql,datascience machinelearning naturallanguageprocessing python javascript sql
33,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript python typescript mongodb nodedotjs
34,appdevelopment,androiddeveloper,flutter,appdevelopment androiddeveloper flutter
35,datascience,machinelearning deeplearning naturallanguageprocessing computervision,sql,datascience machinelearning deeplearning naturallanguageprocessing computervision sql
36,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript typescript mongodb nodedotjs
37,webdevelopment,frontendwebdevelopment backendwebdevelopment,python typescript mongodb,webdevelopment frontendwebdevelopment backendwebdevelopment python typescript mongodb
38,datascience,deeplearning,python sql,datascience deeplearning python sql
39,webdevelopment,fullstackwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment html css javascript python typescript mongodb nodedotjs
40,webdevelopment,frontendwebdevelopment fullstackwebdevelopment,html css javascript mongodb nodedotjs,webdevelopment frontendwebdevelopment fullstackwebdevelopment html css javascript mongodb nodedotjs
41,webdevelopment,fullstackwebdevelopment,html css javascript python,webdevelopment fullstackwebdevelopment html css javascript python
42,webdevelopment,frontendwebdevelopment,python typescript,webdevelopment frontendwebdevelopment python typescript
43,datascience,machinelearning deeplearning,javascript r sql,datascience machinelearning deeplearning javascript r sql
44,datascience,machinelearning deeplearning naturallanguageprocessing computervision,r,datascience machinelearning deeplearning naturallanguageprocessing computervision r
45,appdevelopment,androiddeveloper,kotlin,appdevelopment androiddeveloper kotlin
46,datascience,machinelearning,python sql,datascience machinelearning python sql
47,webdevelopment,fullstackwebdevelopment,javascript python typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment javascript python typescript mongodb nodedotjs
48,webdevelopment,frontendwebdevelopment,mongodb,webdevelopment frontendwebdevelopment mongodb
49,appdevelopment,androiddeveloper iosdeveloper,java kotlin flutter,appdevelopment androiddeveloper iosdeveloper java kotlin flutter
50,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript mongodb nodedotjs react next,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript mongodb nodedotjs react next
51,cloudcomputing,saas paas iaas,aws azure,cloudcomputing saas paas iaas aws azure
52,cybersecurity,ethicalhacking,ecih cysaplus,cybersecurity ethicalhacking ecih cysaplus
53,appdevelopment,androiddeveloper,kotlin,appdevelopment androiddeveloper kotlin
54,datascience,machinelearning,python,datascience machinelearning python
55,appdevelopment,androiddeveloper,flutter,appdevelopment androiddeveloper flutter
56,webdevelopment,fullstackwebdevelopment,typescript mongodb,webdevelopment fullstackwebdevelopment typescript mongodb
57,datascience,machinelearning deeplearning,python r sql,datascience machinelearning deeplearning python r sql
58,webdevelopment,fullstackwebdevelopment,css javascript nodedotjs,webdevelopment fullstackwebdevelopment css javascript nodedotjs
59,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python sql
60,webdevelopment,fullstackwebdevelopment,html css javascript nodedotjs,webdevelopment fullstackwebdevelopment html css javascript nodedotjs
61,webdevelopment,frontendwebdevelopment backendwebdevelopment,html css javascript python nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment html css javascript python nodedotjs
62,datascience,machinelearning,python,datascience machinelearning python
63,webdevelopment,frontendwebdevelopment,html css javascript nodedotjs,webdevelopment frontendwebdevelopment html css javascript nodedotjs
64,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python javascript sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python javascript sql
65,webdevelopment,frontendwebdevelopment,typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment typescript mongodb nodedotjs
66,datascience,machinelearning,python javascript,datascience machinelearning python javascript
67,appdevelopment,androiddeveloper iosdeveloper,javascript swift,appdevelopment androiddeveloper iosdeveloper javascript swift
68,cybersecurity,networksecurity,siem,cybersecurity networksecurity siem
69,webdevelopment,fullstackwebdevelopment,python typescript mongodb nodedotjs react,webdevelopment fullstackwebdevelopment python typescript mongodb nodedotjs react
70,appdevelopment,androiddeveloper iosdeveloper,java,appdevelopment androiddeveloper iosdeveloper java
71,cybersecurity,ethicalhacking,siem,cybersecurity ethicalhacking siem
72,webdevelopment,frontendwebdevelopment,html css javascript nodedotjs,webdevelopment frontendwebdevelopment html css javascript nodedotjs
73,datascience,machinelearning deeplearning naturallanguageprocessing computervision,scala r julia,datascience machinelearning deeplearning naturallanguageprocessing computervision scala r julia
74,datascience,machinelearning deeplearning computervision,python sql,datascience machinelearning deeplearning computervision python sql
75,datascience,machinelearning deeplearning computervision,python,datascience machinelearning deeplearning computervision python
76,webdevelopment,frontendwebdevelopment,mongodb nodedotjs expressjs devops,webdevelopment frontendwebdevelopment mongodb nodedotjs expressjs devops
77,blockchaindevelopment,cryptography,javascript python,blockchaindevelopment cryptography javascript python
78,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python r,datascience machinelearning deeplearning naturallanguageprocessing computervision python r
79,datascience,machinelearning deeplearning,python sql,datascience machinelearning deeplearning python sql
80,datascience,machinelearning deeplearning computervision,sql,datascience machinelearning deeplearning computervision sql
81,datascience,machinelearning deeplearning,javascript scala sql,datascience machinelearning deeplearning javascript scala sql
82,datascience,machinelearning deeplearning,python javascript,datascience machinelearning deeplearning python javascript
83,webdevelopment,fullstackwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment html css javascript python typescript mongodb nodedotjs
84,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment typescript mongodb nodedotjs
85,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python javascript r sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python javascript r sql
86,webdevelopment,fullstackwebdevelopment,html css python,webdevelopment fullstackwebdevelopment html css python
87,appdevelopment,androiddeveloper,java,appdevelopment androiddeveloper java
88,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python sql
89,datascience,machinelearning deeplearning computervision,python,datascience machinelearning deeplearning computervision python
90,webdevelopment,fullstackwebdevelopment,typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment typescript mongodb nodedotjs
91,webdevelopment,frontendwebdevelopment,javascript mongodb nodedotjs,webdevelopment frontendwebdevelopment javascript mongodb nodedotjs
92,datascience,machinelearning deeplearning naturallanguageprocessing,python sql,datascience machinelearning deeplearning naturallanguageprocessing python sql
93,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,typescript mongodb,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment typescript mongodb
94,datascience,machinelearning,python javascript scala r sql julia,datascience machinelearning python javascript scala r sql julia
95,datascience,machinelearning deeplearning,javascript scala julia,datascience machinelearning deeplearning javascript scala julia
96,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python javascript scala r sql julia,datascience machinelearning deeplearning naturallanguageprocessing computervision python javascript scala r sql julia
97,cybersecurity,ethicalhacking,ecih cysaplus siem,cybersecurity ethicalhacking ecih cysaplus siem
98,webdevelopment,frontendwebdevelopment,css javascript python,webdevelopment frontendwebdevelopment css javascript python
99,webdevelopment,fullstackwebdevelopment,html css javascript python,webdevelopment fullstackwebdevelopment html css javascript python
100,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript python typescript mongodb nodedotjs
101,webdevelopment,fullstackwebdevelopment,typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment typescript mongodb nodedotjs
102,webdevelopment,frontendwebdevelopment,python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment python typescript mongodb nodedotjs
103,webdevelopment,frontendwebdevelopment,html css javascript,webdevelopment frontendwebdevelopment html css javascript
104,webdevelopment,frontendwebdevelopment backendwebdevelopment,javascript typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment javascript typescript mongodb nodedotjs
105,datascience,machinelearning,javascript,datascience machinelearning javascript
106,datascience,machinelearning naturallanguageprocessing,scala r,datascience machinelearning naturallanguageprocessing scala r
107,webdevelopment,fullstackwebdevelopment,html css javascript python mongodb nodedotjs,webdevelopment fullstackwebdevelopment html css javascript python mongodb nodedotjs
108,webdevelopment,fullstackwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment html css javascript python typescript mongodb nodedotjs
109,datascience,machinelearning deeplearning,python javascript scala r sql julia tableau,datascience machinelearning deeplearning python javascript scala r sql julia tableau
110,datascience,machinelearning computervision,python,datascience machinelearning computervision python
111,appdevelopment,androiddeveloper iosdeveloper,swift,appdevelopment androiddeveloper iosdeveloper swift
112,datascience,machinelearning,sql,datascience machinelearning sql
113,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment python typescript mongodb nodedotjs
114,webdevelopment,frontendwebdevelopment backendwebdevelopment,html css javascript python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment backendwebdevelopment html css javascript python typescript mongodb nodedotjs
115,webdevelopment,frontendwebdevelopment,javascript python nodedotjs,webdevelopment frontendwebdevelopment javascript python nodedotjs
116,webdevelopment,backendwebdevelopment,javascript nodedotjs,webdevelopment backendwebdevelopment javascript nodedotjs
117,datascience,machinelearning deeplearning naturallanguageprocessing computervision,javascript r sql,datascience machinelearning deeplearning naturallanguageprocessing computervision javascript r sql
118,appdevelopment,androiddeveloper,java,appdevelopment androiddeveloper java
119,cybersecurity,ethicalhacking,cysaplus,cybersecurity ethicalhacking cysaplus
120,datascience,machinelearning,python sql,datascience machinelearning python sql
121,webdevelopment,frontendwebdevelopment,html css javascript,webdevelopment frontendwebdevelopment html css javascript
122,datascience,machinelearning,sql julia,datascience machinelearning sql julia
123,webdevelopment,frontendwebdevelopment,html,webdevelopment frontendwebdevelopment html
124,devops,ci cdpipeline versioncontrolsystem infrastructureautomationlikepuppet,docker kubernetes git git jenkins,devops ci cdpipeline versioncontrolsystem infrastructureautomationlikepuppet docker kubernetes git git jenkins
125,datascience,machinelearning deeplearning,python sql,datascience machinelearning deeplearning python sql
126,datascience,machinelearning deeplearning naturallanguageprocessing computervision,javascript,datascience machinelearning deeplearning naturallanguageprocessing computervision javascript
127,datascience,machinelearning deeplearning naturallanguageprocessing,r julia,datascience machinelearning deeplearning naturallanguageprocessing r julia
128,webdevelopment,frontendwebdevelopment backendwebdevelopment,html css javascript python,webdevelopment frontendwebdevelopment backendwebdevelopment html css javascript python
129,webdevelopment,frontendwebdevelopment,html css javascript python,webdevelopment frontendwebdevelopment html css javascript python
130,datascience,machinelearning,python sql,datascience machinelearning python sql
131,datascience,machinelearning,python,datascience machinelearning python
132,datascience,machinelearning deeplearning computervision,python r sql,datascience machinelearning deeplearning computervision python r sql
133,datascience,machinelearning computervision,python,datascience machinelearning computervision python
134,datascience,machinelearning,python r sql,datascience machinelearning python r sql
135,webdevelopment,fullstackwebdevelopment,typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment typescript mongodb nodedotjs
136,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python javascript,datascience machinelearning deeplearning naturallanguageprocessing computervision python javascript
137,datascience,machinelearning deeplearning naturallanguageprocessing,python sql,datascience machinelearning deeplearning naturallanguageprocessing python sql
138,webdevelopment,fullstackwebdevelopment,javascript typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment javascript typescript mongodb nodedotjs
139,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python sql
140,webdevelopment,fullstackwebdevelopment,html css javascript python mongodb nodedotjs react angular php,webdevelopment fullstackwebdevelopment html css javascript python mongodb nodedotjs react angular php
141,datascience,machinelearning,python sql,datascience machinelearning python sql
142,appdevelopment,androiddeveloper gamedeveloper,javascript swift kotlin chash,appdevelopment androiddeveloper gamedeveloper javascript swift kotlin chash
143,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript python,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript python
144,webdevelopment,frontendwebdevelopment,javascript python mongodb nodedotjs,webdevelopment frontendwebdevelopment javascript python mongodb nodedotjs
145,webdevelopment,frontendwebdevelopment,html css javascript python mongodb nodedotjs,webdevelopment frontendwebdevelopment html css javascript python mongodb nodedotjs
146,webdevelopment,frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment,html css javascript,webdevelopment frontendwebdevelopment backendwebdevelopment fullstackwebdevelopment html css javascript
147,datascience,machinelearning deeplearning naturallanguageprocessing,python javascript sql julia,datascience machinelearning deeplearning naturallanguageprocessing python javascript sql julia
148,cybersecurity,ethicalhacking,siem,cybersecurity ethicalhacking siem
149,datascience,machinelearning deeplearning,javascript scala r sql julia,datascience machinelearning deeplearning javascript scala r sql julia
150,datascience,machinelearning deeplearning computervision,r sql,datascience machinelearning deeplearning computervision r sql
151,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python sql
152,datascience,machinelearning deeplearning,scala sql julia,datascience machinelearning deeplearning scala sql julia
153,webdevelopment,fullstackwebdevelopment,html css javascript mongodb nodedotjs,webdevelopment fullstackwebdevelopment html css javascript mongodb nodedotjs
154,blockchaindevelopment,smartcontracts dapps,java cpp javascript,blockchaindevelopment smartcontracts dapps java cpp javascript
